"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2016","46,555.55","45,761.25","46,555.55","45,761.25","152.56M","1.74%"
"03/15/2016","46,393.77","46,555.55","46,555.55","45,880.05","","-0.35%"
"03/16/2016","46,825.90","46,393.77","46,859.18","46,263.52","116.93M","0.93%"
"03/17/2016","47,169.67","46,825.90","47,597.70","46,731.28","429.21M","0.73%"
"03/18/2016","47,812.41","47,169.67","47,844.29","47,100.57","228.98M","1.36%"
"03/22/2016","47,319.37","47,812.41","47,819.23","46,933.45","148.23M","-1.03%"
"03/23/2016","46,613.13","47,319.37","47,319.37","46,480.51","136.13M","-1.49%"
"03/24/2016","46,349.01","46,613.13","46,632.29","45,828.98","126.48M","-0.57%"
"03/29/2016","45,819.28","46,349.01","46,627.57","45,778.06","116.62M","-1.14%"
"03/30/2016","46,422.66","45,819.28","46,600.16","45,806.89","160.42M","1.32%"
"03/31/2016","46,139.99","46,422.66","46,428.15","45,749.32","173.37M","-0.61%"
"04/01/2016","45,485.30","46,139.99","46,139.99","45,224.63","128.34M","-1.42%"
"04/04/2016","45,772.49","45,485.30","45,819.47","45,205.21","107.31M","0.63%"
"04/05/2016","45,112.97","45,772.49","45,777.71","44,935.07","128.17M","-1.44%"
"04/06/2016","45,084.42","45,112.97","45,457.54","44,993.05","167.39M","-0.06%"
"04/07/2016","45,024.17","45,084.42","45,465.98","44,896.51","146.75M","-0.13%"
"04/08/2016","45,252.36","45,024.17","45,386.98","44,902.39","132.34M","0.51%"
"04/11/2016","45,206.33","45,252.36","45,411.20","44,855.30","114.31M","-0.10%"
"04/12/2016","45,751.08","45,206.33","45,751.08","45,110.25","194.64M","1.21%"
"04/13/2016","46,617.72","45,751.08","47,175.64","45,751.08","182.85M","1.89%"
"04/14/2016","46,551.55","46,617.72","46,781.13","46,372.50","139.99M","-0.14%"
"04/15/2016","46,763.08","46,551.55","46,796.51","46,294.57","92.33M","0.45%"
"04/18/2016","46,879.92","46,763.08","46,879.92","46,220.58","102.81M","0.25%"
"04/19/2016","47,025.18","46,879.92","47,131.72","46,737.43","120.05M","0.31%"
"04/20/2016","47,271.51","47,025.18","47,271.51","46,591.36","141.48M","0.52%"
"04/21/2016","46,845.77","47,271.51","47,508.34","46,723.70","154.01M","-0.90%"
"04/22/2016","46,505.48","46,845.77","46,902.07","46,401.29","120.10M","-0.73%"
"04/25/2016","46,582.73","46,505.48","46,656.13","46,029.29","92.08M","0.17%"
"04/26/2016","46,695.33","46,582.73","46,819.91","46,412.64","110.40M","0.24%"
"04/28/2016","46,793.34","46,695.33","47,107.58","46,695.33","157.98M","0.21%"
"04/29/2016","46,471.00","46,793.34","46,820.61","46,326.65","155.15M","-0.69%"
"05/03/2016","45,548.97","46,471.00","46,730.70","45,491.86","161.03M","-1.98%"
"05/04/2016","45,559.49","45,548.97","45,784.65","45,157.34","166.89M","0.02%"
"05/05/2016","45,623.48","45,559.49","45,960.54","45,118.07","300.57M","0.14%"
"05/06/2016","45,101.87","45,623.48","45,692.18","45,021.35","173.31M","-1.14%"
"05/09/2016","45,136.68","45,101.87","45,701.49","45,101.87","135.26M","0.08%"
"05/10/2016","45,707.25","45,136.68","45,743.23","45,136.68","130.42M","1.26%"
"05/11/2016","45,839.69","45,707.25","46,140.44","45,702.72","93.90M","0.29%"
"05/12/2016","45,190.30","45,839.69","45,839.69","45,190.30","121.99M","-1.42%"
"05/13/2016","45,403.15","45,190.30","45,424.49","44,712.13","141.73M","0.47%"
"05/16/2016","46,258.34","45,403.15","46,333.95","45,403.15","127.51M","1.88%"
"05/17/2016","46,393.38","46,258.34","46,860.81","46,120.40","149.07M","0.29%"
"05/18/2016","46,636.41","46,393.38","46,801.32","46,157.99","187.79M","0.52%"
"05/19/2016","46,312.80","46,636.41","46,636.41","46,056.52","112.86M","-0.69%"
"05/20/2016","46,531.45","46,312.80","46,944.67","46,268.27","132.93M","0.47%"
"05/23/2016","46,537.93","46,531.45","46,537.93","46,095.99","","0.01%"
"05/24/2016","47,033.77","46,537.93","47,134.54","46,337.29","131.76M","1.07%"
"05/25/2016","47,727.26","47,033.77","47,833.43","47,032.67","149.39M","1.47%"
"05/26/2016","47,835.75","47,727.26","48,296.75","47,651.43","159.18M","0.23%"
"05/27/2016","48,069.78","47,835.75","48,210.53","47,835.75","111.76M","0.49%"
"05/30/2016","48,447.60","48,069.78","48,459.99","47,979.66","74.98M","0.79%"
"05/31/2016","47,974.09","48,447.60","48,678.59","47,974.09","332.94M","-0.98%"
"06/01/2016","47,510.07","47,974.09","47,974.09","47,468.95","149.28M","-0.97%"
"06/02/2016","47,677.99","47,510.07","47,959.02","47,465.46","123.79M","0.35%"
"06/03/2016","48,083.54","47,677.99","48,148.01","47,668.22","162.74M","0.85%"
"06/06/2016","47,822.38","48,083.54","48,083.54","47,462.55","137.38M","-0.54%"
"06/07/2016","48,053.20","47,822.38","48,197.05","47,742.18","135.09M","0.48%"
"06/08/2016","47,716.20","48,053.20","48,074.42","47,595.77","141.65M","-0.70%"
"06/09/2016","47,176.52","47,716.20","47,767.98","47,115.49","115.92M","-1.13%"
